RegionID,SizeRank,RegionName,RegionType,StateName,2015-01-31,2015-02-28,2015-03-31,2015-04-30,2015-05-31,2015-06-30,2015-07-31,2015-08-31,2015-09-30,2015-10-31,2015-11-30,2015-12-31,2016-01-31,2016-02-29,2016-03-31,2016-04-30,2016-05-31,2016-06-30,2016-07-31,2016-08-31,2016-09-30,2016-10-31,2016-11-30,2016-12-31,2017-01-31,2017-02-28,2017-03-31,2017-04-30,2017-05-31,2017-06-30,2017-07-31,2017-08-31,2017-09-30,2017-10-31,2017-11-30,2017-12-31,2018-01-31,2018-02-28,2018-03-31,2018-04-30,2018-05-31,2018-06-30,2018-07-31,2018-08-31,2018-09-30,2018-10-31,2018-11-30,2018-12-31,2019-01-31,2019-02-28,2019-03-31,2019-04-30,2019-05-31,2019-06-30,2019-07-31,2019-08-31,2019-09-30,2019-10-31,2019-11-30,2019-12-31,2020-01-31,2020-02-29,2020-03-31,2020-04-30,2020-05-31,2020-06-30,2020-07-31,2020-08-31,2020-09-30,2020-10-31,2020-11-30,2020-12-31
9,0,California,State,CA,428868.0,431039.0,434305.0,437028.0,439880.0,442079.0,444238.0,446807.0,449755.0,452953.0,455461.0,458956.0,462043.0,464723.0,466394.0,469050.0,471598.0,474300.0,476609.0,479561.0,482276.0,485250.0,487766.0,489947.0,492363.0,494982.0,498125.0,500973.0,504240.0,507690.0,510681.0,513374.0,516368.0,519665.0,523633.0,527771.0,532091.0,536395.0,540072.0,543109.0,546109.0,549146.0,551679.0,552862.0,553074.0,553213.0,553410.0,552889.0,552068.0,550586.0,549592.0,550217.0,552785.0,555947.0,557587.0,557892.0,558065.0,558845.0,559943.0,562173.0,565187.0,568782.0,572347.0,575413.0,577325.0,579140.0,582941.0,588980.0,596054.0,603158.0,610386.0,617633.0
54,1,Texas,State,TX,156795.0,157801.0,158879.0,159977.0,161001.0,162008.0,162998.0,163956.0,164836.0,165773.0,166626.0,167521.0,168457.0,169366.0,170246.0,171098.0,172122.0,173088.0,174138.0,175053.0,176030.0,176914.0,178019.0,179186.0,180239.0,181285.0,182201.0,183179.0,184006.0,184859.0,185623.0,186409.0,187254.0,188220.0,189179.0,190035.0,190805.0,191622.0,192614.0,193730.0,194834.0,195895.0,196839.0,197791.0,198530.0,199337.0,200027.0,200919.0,201865.0,202793.0,203436.0,203941.0,204561.0,205277.0,206028.0,206659.0,207244.0,207480.0,207735.0,207947.0,208392.0,208835.0,209515.0,210311.0,211154.0,212057.0,213125.0,214406.0,215951.0,217863.0,219982.0,222237.0
43,2,New York,State,NY,268277.0,268734.0,269034.0,269440.0,269947.0,270611.0,271375.0,272119.0,272863.0,273437.0,274002.0,274400.0,274832.0,275571.0,276516.0,277500.0,278337.0,279000.0,279693.0,280497.0,281351.0,282341.0,283395.0,284703.0,285946.0,286907.0,287755.0,288786.0,290185.0,291844.0,293394.0,294804.0,296121.0,297501.0,298905.0,300159.0,301535.0,302998.0,304531.0,305978.0,307370.0,308788.0,310272.0,311766.0,313238.0,314441.0,315487.0,316433.0,317427.0,318369.0,319468.0,320449.0,321616.0,322545.0,323213.0,323570.0,323612.0,323544.0,323629.0,324138.0,324980.0,325895.0,326694.0,327749.0,328801.0,330170.0,331930.0,334164.0,336900.0,340092.0,343510.0,346973.0
14,3,Florida,State,FL,180746.0,181886.0,183019.0,184152.0,185329.0,186583.0,187765.0,189112.0,190513.0,191911.0,193170.0,194542.0,196022.0,197583.0,198922.0,200263.0,201507.0,202914.0,204381.0,205774.0,207011.0,208154.0,209474.0,210749.0,212078.0,213271.0,214538.0,215928.0,217325.0,218699.0,219944.0,221319.0,222670.0,224028.0,225231.0,226447.0,227359.0,228443.0,229734.0,231192.0,232713.0,234042.0,235338.0,236430.0,237479.0,238432.0,239436.0,240484.0,241445.0,242056.0,242422.0,242786.0,243293.0,244091.0,245069.0,245706.0,246138.0,246562.0,247175.0,247772.0,248612.0,249782.0,251098.0,252395.0,253659.0,254911.0,256194.0,257962.0,260077.0,262410.0,264768.0,267296.0
21,4,Illinois,State,IL,175799.0,175917.0,176426.0,177227.0,178006.0,178236.0,178511.0,178755.0,179093.0,179336.0,179632.0,180096.0,180694.0,181739.0,182630.0,183378.0,183888.0,184541.0,185321.0,186062.0,186696.0,187397.0,188257.0,189188.0,190188.0,190958.0,191873.0,192713.0,193518.0,194147.0,194694.0,195390.0,196158.0,196994.0,197763.0,198595.0,199443.0,200108.0,200496.0,200892.0,201469.0,202211.0,202724.0,203127.0,203497.0,203828.0,204180.0,204412.0,204534.0,204805.0,205136.0,205672.0,206219.0,206719.0,207042.0,207143.0,206872.0,206573.0,206381.0,206524.0,206875.0,207126.0,207548.0,207938.0,208362.0,208898.0,209820.0,211074.0,212769.0,214659.0,216645.0,218622.0
47,5,Pennsylvania,State,PA,163108.0,163248.0,163537.0,163967.0,164507.0,164773.0,164939.0,165123.0,165457.0,165842.0,166186.0,166435.0,166839.0,167389.0,167750.0,167968.0,168045.0,168487.0,168968.0,169537.0,169972.0,170434.0,170964.0,171672.0,172166.0,172608.0,173026.0,173741.0,174513.0,175256.0,175976.0,176696.0,177486.0,178315.0,179057.0,179778.0,180607.0,181484.0,182712.0,183785.0,184880.0,185550.0,186158.0,186650.0,187209.0,187702.0,188311.0,188924.0,189668.0,190405.0,190931.0,191430.0,192188.0,193103.0,193940.0,194509.0,194961.0,195415.0,195849.0,196393.0,197002.0,197690.0,198456.0,199390.0,200246.0,201339.0,202680.0,204447.0,206432.0,208626.0,210996.0,213499.0
44,6,Ohio,State,OH,115980.0,116575.0,117111.0,117560.0,118023.0,118460.0,118896.0,119312.0,119712.0,120100.0,120465.0,120794.0,121204.0,121603.0,122118.0,122590.0,123022.0,123438.0,123899.0,124439.0,125007.0,125591.0,126228.0,126930.0,127675.0,128377.0,129018.0,129674.0,130327.0,131009.0,131616.0,132368.0,133160.0,134043.0,134800.0,135508.0,135987.0,136629.0,137347.0,138338.0,139271.0,140116.0,140915.0,141525.0,142071.0,142580.0,143224.0,143942.0,144744.0,145544.0,146300.0,146858.0,147506.0,148204.0,148992.0,149601.0,150254.0,150817.0,151206.0,151722.0,152377.0,153235.0,154001.0,154863.0,155782.0,156801.0,157888.0,159287.0,160790.0,162486.0,164416.0,166358.0
30,7,Michigan,State,MI,125640.0,126206.0,126940.0,127589.0,128117.0,128582.0,129100.0,129722.0,130232.0,130744.0,131343.0,132147.0,132898.0,133596.0,134089.0,134857.0,135676.0,136602.0,137523.0,138398.0,139477.0,140555.0,141536.0,142393.0,143240.0,144154.0,145222.0,146275.0,147431.0,148418.0,149257.0,150114.0,150982.0,151922.0,152926.0,153908.0,155127.0,156363.0,157556.0,158613.0,159686.0,160940.0,162097.0,163108.0,163879.0,164594.0,165244.0,166095.0,166784.0,167481.0,167926.0,168510.0,169522.0,170790.0,171894.0,172371.0,172706.0,173006.0,173521.0,173995.0,174704.0,175403.0,176337.0,177336.0,178082.0,178695.0,179642.0,181287.0,183297.0,185502.0,187719.0,190052.0
16,8,Georgia,State,GA,149262.0,149872.0,150467.0,151153.0,151993.0,152898.0,153674.0,154429.0,155154.0,155844.0,156526.0,157189.0,158031.0,158856.0,159828.0,160777.0,161657.0,162367.0,162994.0,163633.0,164167.0,164889.0,165685.0,166657.0,167462.0,168342.0,169211.0,170125.0,171041.0,172101.0,173293.0,174463.0,175838.0,177126.0,178518.0,179843.0,181262.0,182619.0,183797.0,185005.0,186301.0,187685.0,189026.0,190287.0,191470.0,192631.0,193748.0,194762.0,195668.0,196458.0,197449.0,198448.0,199517.0,200353.0,201183.0,202043.0,202869.0,203572.0,203975.0,204441.0,205073.0,206030.0,206968.0,207955.0,208945.0,210166.0,211509.0,213006.0,214667.0,216603.0,218940.0,221471.0
36,9,North Carolina,State,NC,158043.0,158529.0,159150.0,159679.0,160143.0,160578.0,161137.0,161786.0,162344.0,162840.0,163247.0,163618.0,164036.0,164545.0,165020.0,165624.0,166358.0,167270.0,168147.0,168972.0,169839.0,170691.0,171595.0,172525.0,173406.0,174213.0,175108.0,176072.0,177005.0,177807.0,178512.0,179312.0,180185.0,181255.0,182274.0,183341.0,184413.0,185549.0,186609.0,187538.0,188541.0,189610.0,190799.0,191890.0,192904.0,193717.0,194630.0,195527.0,196558.0,197418.0,198274.0,199176.0,200074.0,201033.0,201884.0,202706.0,203495.0,204325.0,205140.0,205866.0,206571.0,207468.0,208507.0,209639.0,210832.0,212071.0,213464.0,215027.0,216761.0,218657.0,220670.0,222909.0
40,10,New Jersey,State,NJ,303305.0,304081.0,304310.0,304609.0,304678.0,305001.0,305092.0,305238.0,305594.0,305977.0,306506.0,306873.0,306862.0,306858.0,306792.0,307007.0,307112.0,307569.0,308128.0,308662.0,309086.0,309667.0,310209.0,310810.0,311625.0,312294.0,313418.0,314132.0,315465.0,316197.0,317317.0,318494.0,319844.0,321011.0,322173.0,323391.0,324817.0,326320.0,327633.0,329111.0,330138.0,331373.0,332127.0,332725.0,333279.0,333833.0,334499.0,334994.0,335339.0,335631.0,336098.0,336581.0,337722.0,338844.0,340104.0,340293.0,339889.0,339334.0,339223.0,339895.0,340868.0,342037.0,343189.0,344641.0,346025.0,347798.0,349983.0,353450.0,357793.0,362751.0,367813.0,372870.0
56,11,Virginia,State,VA,245779.0,246192.0,246623.0,247058.0,247429.0,247714.0,248038.0,248342.0,248716.0,249109.0,249377.0,249671.0,250062.0,250127.0,250259.0,250632.0,251370.0,252096.0,252766.0,253422.0,254135.0,254795.0,255628.0,256581.0,257536.0,258613.0,259449.0,260324.0,260865.0,261567.0,262164.0,262916.0,263616.0,264429.0,265292.0,265958.0,266801.0,267347.0,268248.0,268917.0,269929.0,270799.0,271681.0,272315.0,272846.0,273379.0,274017.0,274962.0,275917.0,277080.0,278136.0,279170.0,279983.0,280809.0,281663.0,282698.0,283742.0,284754.0,285305.0,285817.0,286321.0,287193.0,288029.0,289119.0,290430.0,291943.0,293624.0,295434.0,297489.0,299755.0,302548.0,305509.0
59,12,Washington,State,WA,272360.0,273870.0,275830.0,277625.0,280159.0,282120.0,284072.0,286594.0,289266.0,292018.0,294595.0,297116.0,299440.0,302163.0,304860.0,307625.0,309985.0,312588.0,315507.0,318134.0,320895.0,323373.0,326407.0,329414.0,332456.0,335396.0,338372.0,341722.0,345098.0,348616.0,352188.0,355616.0,358649.0,361839.0,364801.0,368353.0,371743.0,375725.0,379369.0,382944.0,386108.0,388648.0,390303.0,391369.0,392796.0,394171.0,395358.0,395906.0,396646.0,396881.0,397019.0,397282.0,399242.0,401611.0,404041.0,405323.0,406510.0,407394.0,409280.0,412165.0,415679.0,419255.0,422863.0,426576.0,429406.0,432419.0,436064.0,441261.0,446740.0,452786.0,458464.0,463856.0
26,13,Massachusetts,State,MA,347610.0,349336.0,350478.0,350732.0,351384.0,352073.0,353699.0,355369.0,356901.0,358544.0,359542.0,360404.0,361365.0,363189.0,364983.0,367019.0,368796.0,370558.0,371436.0,372508.0,374252.0,376259.0,378660.0,380559.0,382207.0,383170.0,384398.0,386424.0,388725.0,391258.0,393833.0,395843.0,397814.0,399314.0,401467.0,403375.0,405466.0,408010.0,410502.0,412474.0,414068.0,415910.0,417847.0,419202.0,419631.0,420072.0,420255.0,421112.0,421567.0,421915.0,421700.0,422298.0,423510.0,425389.0,426177.0,426428.0,426614.0,426991.0,427579.0,428513.0,430314.0,432525.0,434919.0,437087.0,439264.0,441105.0,444124.0,448345.0,453479.0,459010.0,464835.0,470610.0
22,14,Indiana,State,IN,121312.0,121548.0,121767.0,122078.0,122374.0,122674.0,122816.0,122989.0,123225.0,123495.0,123850.0,124237.0,124770.0,125236.0,125587.0,125872.0,126257.0,126797.0,127495.0,128158.0,128828.0,129437.0,129956.0,130396.0,130836.0,131448.0,132199.0,133031.0,133837.0,134564.0,135155.0,135818.0,136474.0,137352.0,138191.0,139072.0,139739.0,140482.0,141352.0,142344.0,143259.0,144195.0,145227.0,146196.0,146978.0,147527.0,148222.0,149079.0,150124.0,150898.0,151600.0,152154.0,152943.0,153677.0,154419.0,155161.0,155972.0,156799.0,157377.0,157811.0,158280.0,159026.0,159816.0,160714.0,161555.0,162540.0,163591.0,164759.0,166080.0,167576.0,169329.0,171240.0
8,15,Arizona,State,AZ,194277.0,194482.0,195875.0,197754.0,199454.0,200387.0,201684.0,202905.0,204368.0,205234.0,205942.0,206757.0,208379.0,209651.0,210509.0,211333.0,212349.0,213442.0,214057.0,215098.0,216215.0,217802.0,219357.0,220622.0,221576.0,222724.0,224078.0,225359.0,226537.0,227959.0,229684.0,230886.0,232166.0,233440.0,234952.0,236281.0,237805.0,239628.0,241348.0,242939.0,244556.0,246176.0,247656.0,248917.0,250272.0,251377.0,252319.0,253162.0,254307.0,255446.0,256467.0,256948.0,258104.0,259767.0,261685.0,263367.0,264585.0,266000.0,267372.0,269241.0,271057.0,272997.0,275277.0,278341.0,281148.0,283792.0,286572.0,290106.0,294317.0,298876.0,303927.0,309122.0
